Date,Price,Open,High,Low,Vol.,Change %
2015-06-10,607.03,601.38,608.22,601.38,,1.02%
2015-06-09,600.9,601.2,602.49,597.22,,-0.10%
2015-06-08,601.48,605.48,605.48,601.38,,-0.71%
2015-06-05,605.76,606.87,607.25,603.22,,-0.28%
2015-06-04,607.45,610.57,611.86,606.64,,-0.68%
2015-06-03,611.62,607.48,612.75,607.42,,0.72%
2015-06-02,607.26,605.86,610.27,604.05,,0.16%
2015-06-01,606.3,604.62,608.34,603.34,,0.31%
2015-05-29,604.41,608.46,609.21,603.68,,-0.69%
2015-05-28,608.59,609.5,609.96,607.24,,-0.23%
2015-05-27,610,606.62,610.69,605.64,,0.67%
2015-05-26,605.92,609.57,611.13,604.67,,-0.63%
2015-05-22,609.74,610.88,612.15,609.08,,-0.16%
2015-05-21,610.74,608.28,612.33,608.28,,0.36%
2015-05-20,608.55,609.4,611.16,606.55,,-0.15%
2015-05-19,609.45,609.52,612.41,608.89,,-0.02%
2015-05-18,609.59,607.03,610.59,607.02,,0.42%
2015-05-15,607.07,603.12,607.07,602.68,,0.75%
2015-05-14,602.57,601.2,602.68,598.94,,0.43%
2015-05-13,599.99,603.85,605.77,599.36,,-0.61%
2015-05-12,603.69,603.88,605.79,599.08,,-0.20%
2015-05-11,604.9,607.47,610.06,604.87,,-0.42%
2015-05-08,607.47,602.87,609.95,602.87,,1.09%
2015-05-07,600.9,597.94,602.07,596.62,,0.48%
2015-05-06,598.05,600.99,602.73,595.13,,-0.42%
2015-05-05,600.56,606.36,607.58,600.33,,-1.03%
2015-05-04,606.8,606.9,610.08,606.02,,0.19%
2015-05-01,605.66,598.17,605.71,598.17,,1.40%
2015-04-30,597.3,603.99,604.87,594.76,,-1.15%
2015-04-29,604.24,607.01,607.71,601.65,,-0.66%
2015-04-28,608.27,610,610.01,604.13,,-0.34%
2015-04-27,610.37,615.84,617.6,609.9,,-0.85%
2015-04-24,615.58,607.82,616.37,607.82,,1.34%
2015-04-23,607.44,604.43,610.78,604.39,,0.46%
2015-04-22,604.63,604,605.63,601.27,,0.14%
2015-04-21,603.76,603.76,606.17,602.13,,0.07%
2015-04-20,603.32,597.7,604.36,597.7,,1.07%
2015-04-17,596.96,604.98,604.98,595.08,,-1.47%
2015-04-16,605.86,605.38,607.14,604.92,,0.21%
2015-04-15,604.58,604.99,607.98,604.39,,0.00%
2015-04-14,604.56,604.7,606.33,601.1,,-0.07%
2015-04-13,605.01,608.27,609.44,604.94,,-0.53%
2015-04-10,608.22,606.59,608.86,606.23,,0.32%
2015-04-09,606.28,605.74,607.9,602.09,,0.09%
2015-04-08,605.73,600.63,605.73,600.63,,0.92%
2015-04-07,600.2,603.21,604.4,600.12,,-0.52%
2015-04-06,603.35,599.86,605.77,597.07,,0.47%
2015-04-02,600.52,595.38,601.46,594,,0.90%
2015-04-01,595.17,598.02,598.02,591.55,,-0.45%
2015-03-31,597.86,600.56,604.16,597.86,,-0.45%
2015-03-30,600.59,595.1,602.18,595.1,,1.00%
2015-03-27,594.66,591.4,595.78,591.24,,0.52%
2015-03-26,591.61,594.02,594.72,589.33,,-0.63%
2015-03-25,595.39,604.98,605.12,595.39,,-1.61%
2015-03-24,605.15,607.63,609.16,605.13,,-0.50%
2015-03-23,608.22,609.11,612.25,608.22,,-0.12%
2015-03-20,608.95,602.79,610.55,602.79,,1.07%
2015-03-19,602.5,603.13,604.4,600.56,,-0.18%
2015-03-18,603.56,597.89,605.29,592.74,,0.88%
2015-03-17,598.3,600.71,600.71,596.41,,-0.52%
2015-03-16,601.42,595.47,601.77,595.47,,1.09%
2015-03-13,594.92,598.71,599.18,591.58,,-0.72%
2015-03-12,599.25,588.21,599.63,588.21,,2.02%
2015-03-11,587.41,590.25,592.13,587.23,,-0.48%
2015-03-10,590.22,598.99,598.99,590.22,,-1.65%
